QTR,SCORE DIFF. (O),SITUATION (O),DRIVE #,DRIVE PLAY #,1ST DN #,DN,DIST,D&D,YARD LN,Field Zone,HASH,OFF TEAM,PERS,OFF FORM,BACKF SET,MOTION,PROTECTION,OFF PLAY,PLAY CATEGORY,RESULT,PLAY TYPE,PRE-SNAP READ,POST-SNAP READ,ZONE THROWN,GN/LS,DEF TEAM,DEF PERSONNEL,DEF FRONT,STUNT,BLITZ,NBR,COVERAGE,DEF ADJ
2,-4,,4,2,0,2,7,2&7+,-53,Open Field (-40 to 40),M,CONU,15,32,G0,,60 SOLID,"AUBURN, JONES",DROPBACK,Complete,Pass,,,FLAT WK,6,UDM,40,EVEN,"RN, QT",,4,44 DC,
2,-6,2 MIN,7,1,0,0,10,0&10,-52,Open Field (-40 to 40),R,CONU,15,32,G0,1W ZIPPER,,IZ LOCK ST OPT OHIO,RPO,Complete,Pass,,,CURL WK,13,UDM,40,TEXAS,,,4,44,
3,-6,OPENERS 2ND,8,4,1,1,10,1&10,-52,Open Field (-40 to 40),L,CONU,15,41,G0,,60,"ZR-VIRGINIA, OHIO",QUICK,Incomplete,Pass,,,FLAT WK,0,UDM,40,STETSON,,SAW,5S,1,
2,3,,7,3,1,1,20,1&11+,-52,Open Field (-40 to 40),R,CONU,15,41,G0,"4S BOMBER, T SCAT WK",60 BOMBER SLIDE WK,"AUBURN, COD",DROPBACK,Complete,Pass,,,DEEP 1/3 WK,26,SHER,40,IN,,BEAMER,4,44,
3,-6,OPENERS 2ND,8,5,1,2,10,2&7+,-52,Open Field (-40 to 40),L,CONU,15,32,G0,1W ZIP,50 SOLID,"JONES R-OKLAHOMA, AUBURN",DROPBACK,Complete,Pass,,,CURL ST,11,UDM,40,EVEN,"NQ, TAR",,4,44 DC,
2,-21,2 MIN,11,1,0,0,10,0&10,-51,Open Field (-40 to 40),L,CONU,15,32,G0,,60 SOLID,"AUBURN, MIAMI",QUICK,Complete,Pass,,,FLAT WK,2,MCGILL,30,BANDIT,,,3,HALO,
1,0,,4,1,0,0,10,0&10,-51,Open Field (-40 to 40),M,CONU,15,23,G0,,60 SLIDE WK,"OKLAHOMA Y-POST, SILVA",DROPBACK,Complete,Pass,,,FLAT ST,38,SHER,NICKEL 40,IN,,,4,35,
3,-6,,9,4,1,1,10,1&10,-51,Open Field (-40 to 40),L,CONU,15,32,G0,,60 SOLID,"AUBURN, CADBURY",QUICK,Incomplete,Pass,,,HOOK WK,0,UDM,40,STETSON,,SAW,5S,43,
2,-19,,5,3,2,1,10,1&10,-51,Open Field (-40 to 40),R,CONU,15,32,G0,"2W YOYO, 3S BEND",,IZ BEND ST OPT FLAT SCREEN,RPO,Complete,Pass,,,FLAT WK,0,LVL,40,WEAK,,,4,MATCH,
3,-6,,9,5,1,2,10,2&7+,-51,Open Field (-40 to 40),L,CONU,15,32,G0,,50 SOLID,"Z-VIRGINIA, PLUNGE",DROPBACK,Incomplete,Pass,,,CURL WK,0,UDM,40,EVEN,"NQ, TAR",,4,44,
2,-19,,5,4,2,2,10,2&7+,-51,Open Field (-40 to 40),R,CONU,15,23,G0,FREEZE,60 SOLID,"JONES, AUBURN",DROPBACK,Complete,Pass,,,CURL WK,18,LVL,NICKEL 30,STETSON MUG,,,5M,34,
